,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00106,1,1,1,1,0,5,0,0,1,15,1354,3,0,7,22,0,0,0,0,0,0,0,3
Otu00107,90,73,208,97,283,180,14,19,12,0,3,2,2,310,0,0,0,1,0,3,80,0,1
Otu00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,14,70,0,0,0,0,65
Otu00109,0,0,0,0,0,0,0,0,0,0,0,44,2,5,0,0,0,1,1300,1,5,0,0
Otu00110,0,0,0,0,0,0,0,0,0,0,40,674,0,7,0,0,0,6,551,48,3,0,0
Otu00111,17,7,185,11,4,154,0,12,14,0,31,75,112,0,0,0,0,0,39,18,85,544,0
Otu00112,0,0,0,0,0,0,0,0,0,5,1073,55,0,9,32,0,0,0,10,50,0,0,0
Otu00113,0,0,0,0,0,0,0,2,0,0,5,563,0,684,0,0,0,0,9,0,0,2,0
Otu00114,224,33,470,32,0,477,9,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
Otu00115,0,2,0,0,0,0,0,0,2,0,22,21,1,13,0,4,0,0,878,314,3,0,0
Otu00116,7,29,84,63,30,7,56,65,55,493,16,0,0,2,0,0,0,0,0,2,3,0,4
Otu00117,0,0,0,0,0,0,0,0,0,0,4,1147,31,64,2,0,0,0,3,0,1,0,0
Otu00118,0,5,0,0,0,0,0,0,0,2,49,101,1,20,0,0,0,11,585,475,0,0,0
Otu00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0
Otu00120,0,0,0,0,0,0,0,0,0,4,792,296,0,38,0,0,0,0,2,110,0,0,5
Otu00121,172,238,264,168,26,285,30,1,4,5,1,0,0,4,0,0,0,0,0,10,0,0,2
Otu00122,7,46,24,146,0,3,115,152,83,219,5,1,7,1,0,0,1,0,0,4,9,0,0
Otu00123,9,24,44,0,0,2,15,56,124,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Otu00124,6,28,20,4,0,15,27,18,32,63,26,9,115,0,0,0,0,0,78,8,1,167,0
