,EMf3,ECf11,EMf1,EMf7,MVf12,EMf2,ECf9,bkEC,bkEM,bkMV,EMw3,EMw6,ECw11,EMw1,EMw4,EMw7,EMw8,MVw12,EMw2,EMw5,ECw9,ECw10,MVw13
B_Otu000181,0,4,0,0,0,0,6,0,0,0,98,246,52,87,0,0,0,0,100,133,64,0,153
B_Otu000182,0,4,0,0,15,0,0,0,0,0,0,44,790,52,0,0,1,0,59,25,6,0,7
B_Otu000183,0,0,0,0,5,0,0,0,0,0,18,33,11,8,0,0,0,0,456,535,11,0,0
B_Otu000184,0,4,0,1272,20,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000185,0,0,0,0,0,0,0,0,0,0,28,54,3,22,0,2,9,0,5,14,1,0,10
B_Otu000186,0,4,0,0,0,0,0,0,0,0,0,2,129,8,2,0,1,0,1,6,296,196,157
B_Otu000187,0,8,0,0,0,0,0,0,0,0,0,0,0,29,43,268,533,0,1,0,0,52,3
B_Otu000188,0,0,0,16,235,0,9,0,0,0,0,0,9,8,17,21,43,1018,0,3,15,15,0
B_Otu000189,0,0,0,0,0,0,3,0,0,0,387,579,17,64,0,0,0,0,4,0,0,0,0
B_Otu000190,0,0,0,0,1307,0,0,0,0,0,42,183,3,36,0,0,0,36,37,42,40,0,7
B_Otu000191,0,0,0,0,0,0,0,0,2,0,24,298,49,29,0,0,0,0,180,86,6,0,0
B_Otu000192,0,4,3,0,0,3,0,0,0,0,0,0,6,16,27,286,179,165,4,0,34,146,237
B_Otu000193,0,0,0,22,0,5,0,0,11,0,207,1014,0,4,0,3,3,0,5,3,1,2,0
B_Otu000194,0,4,0,383,0,0,25,0,2,0,4,2,3,46,38,149,232,0,1,3,14,202,0
B_Otu000195,0,0,0,0,0,0,0,0,0,0,17,54,37,21,0,0,0,0,102,92,2,0,0
B_Otu000196,0,0,0,0,97,0,0,0,0,0,31,81,14,9,0,0,0,947,7,14,16,0,21
B_Otu000197,0,0,0,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,507,0,3,0,0,0
B_Otu000198,0,21,0,3,15,0,3,0,0,0,0,2,29,65,83,158,397,88,0,3,2,20,3
B_Otu000199,0,0,0,0,5,0,0,0,0,0,18,57,14,20,0,0,0,2,51,1115,2,2,0
B_Otu000200,0,13,10,19,0,0,25,0,2,0,0,0,6,29,47,181,500,92,0,0,1,2,0
B_Otu000201,2,59,0,9,0,0,22,0,0,0,2,0,3,44,93,203,415,0,0,3,5,43,0
B_Otu000202,0,0,0,0,0,0,3,0,0,0,2,7,9,0,0,5,0,0,0,14,1,0,0
B_Otu000203,0,0,0,0,20,0,0,0,0,0,6,178,167,58,0,0,0,0,16,6,4,0,0
B_Otu000204,2,8,3,0,0,0,0,0,0,0,0,0,52,2,3,2,3,0,5,0,30,560,693
B_Otu000205,244,84,211,396,0,510,108,11,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0
B_Otu000206,0,0,0,0,0,0,0,0,0,0,0,0,0,323,10,0,0,2,0,0,0,0,0
B_Otu000207,0,13,0,9,0,15,0,0,0,0,0,0,11,18,25,73,127,6,9,3,4,321,645
B_Otu000208,0,71,84,60,77,0,40,0,0,0,15,59,83,76,40,41,123,9,22,50,20,83,3
B_Otu000209,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,0,0,2,596,39,9,0,0
B_Otu000210,0,0,0,0,0,0,0,4,0,0,37,113,3,13,0,0,0,0,198,541,18,0,0
B_Otu000211,0,4,6,22,0,0,6,0,0,0,0,0,0,3,43,62,136,778,0,0,0,0,0
B_Otu000212,0,0,0,0,5,0,0,0,0,44,232,118,9,11,0,2,0,0,0,707,4,0,10
B_Otu000213,0,4,0,0,0,0,9,0,0,0,0,0,34,16,18,96,530,0,0,0,3,96,7
B_Otu000214,0,8,0,0,0,0,0,0,0,0,0,0,6,58,115,203,258,0,0,0,1,111,0
B_Otu000215,0,0,0,0,0,0,3,0,0,0,205,44,60,26,0,0,0,0,283,222,16,4,0
B_Otu000216,0,0,0,0,0,0,0,0,0,0,52,187,17,28,0,0,0,0,86,130,0,0,0
B_Otu000217,0,8,0,6,0,3,3,0,0,0,0,0,3,36,273,96,202,11,0,0,40,37,52
B_Otu000218,0,0,0,0,0,0,0,0,0,0,18,178,115,51,0,0,0,0,12,31,4,0,0
B_Otu000219,0,4,3,28,0,0,25,0,0,0,0,0,0,18,40,114,404,212,0,0,1,4,0
B_Otu000220,0,0,0,0,0,0,0,0,0,0,229,344,6,97,0,0,0,0,4,39,1,0,0
B_Otu000221,0,0,0,0,0,0,0,0,0,0,26,174,49,24,0,0,0,2,96,105,4,0,0
B_Otu000222,0,25,0,3,0,0,3,0,0,0,122,54,83,19,0,0,0,2,221,366,27,0,0
B_Otu000223,0,8,0,28,0,3,22,0,2,0,0,0,0,46,228,180,13,325,0,0,1,0,0
B_Otu000224,0,117,36,157,0,0,15,0,0,0,0,17,302,24,12,16,77,13,51,36,60,35,7
B_Otu000225,0,0,0,0,0,0,0,0,0,0,11,13,14,6,0,0,0,0,427,67,12,2,0
B_Otu000226,342,75,175,270,0,327,102,32,20,3,0,0,3,0,0,0,0,0,0,0,0,0,0
B_Otu000227,0,0,0,0,0,0,0,0,0,0,413,150,78,57,0,0,0,0,0,3,30,0,56
B_Otu000228,0,8,0,0,5,0,0,0,0,0,42,85,14,38,0,0,0,6,156,130,53,0,0
B_Otu000229,0,0,0,0,5,0,0,0,0,0,6,148,241,51,0,0,0,0,20,0,5,0,0
B_Otu000230,0,4,0,0,5,0,0,0,0,0,435,194,9,23,2,0,0,2,39,114,0,0,0
B_Otu000231,0,0,0,3,0,5,0,46,0,0,26,250,0,124,0,0,9,45,0,28,0,0,0
B_Otu000232,0,21,0,0,0,0,3,0,0,0,2,126,0,209,0,0,0,0,0,0,0,0,35
B_Otu000233,0,4,0,0,5,0,0,0,0,0,0,0,43,0,0,0,0,2,34,25,304,0,0
B_Otu000234,0,0,0,0,5,0,0,0,0,0,4,26,0,3,0,0,0,0,541,11,0,0,0
