,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu000126,1,5,2,0,0,1,9,12,251,619,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000127,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,5,0,0
Otu000128,1,13,6,37,30,0,5,0,1,0,0,0,0,45,35,143,186,382,1,1,1,4,1
Otu000129,0,3,0,0,2,0,0,0,0,0,17,334,62,89,0,0,1,10,111,85,159,1,13
Otu000130,0,1,0,0,0,1,1,0,0,0,0,0,4,228,45,92,139,1,1,0,29,296,44
Otu000131,0,0,0,0,1,0,6,1,0,0,15,114,18,47,0,0,4,0,68,97,91,0,17
Otu000132,0,10,0,2,0,1,5,0,0,0,0,2,55,205,78,55,209,1,9,2,112,119,11
Otu000133,0,0,1,1,2,0,4,0,0,0,0,0,0,53,17,140,461,179,0,0,0,17,0
Otu000134,0,0,0,0,0,0,0,0,0,0,176,355,13,122,0,0,0,0,31,146,16,3,3
Otu000135,0,6,0,1,0,0,2,0,0,0,2,0,1,25,16,259,445,45,0,2,7,7,38
Otu000136,1,112,0,0,1,5,14,3,0,0,0,0,12,2,0,0,2,0,0,0,687,2,14
Otu000137,1,15,17,4,0,0,9,0,0,0,125,72,33,42,0,0,7,0,254,130,61,10,49
Otu000138,4,114,3,2,0,0,27,5,1,0,0,1,1,270,235,78,81,5,0,0,7,11,2
Otu000139,0,1,0,0,1,0,18,0,0,0,0,3,1,54,75,619,47,0,0,0,11,11,0
Otu000140,0,0,1,1,1,0,0,0,0,0,97,543,11,119,0,0,0,0,1,57,8,0,0
Otu000141,16,334,8,7,0,3,40,2,2,7,0,0,0,205,86,17,31,6,0,0,41,33,0
Otu000142,0,0,0,0,14,0,0,0,0,0,7,39,29,15,0,0,0,617,0,11,44,5,42
Otu000143,0,19,1,0,0,0,1,0,0,0,0,0,0,49,134,194,404,0,0,0,0,17,0
Otu000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,0,1
Otu000145,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,2
Otu000146,0,0,0,0,1,0,0,0,0,0,23,95,47,12,0,0,0,1,198,204,202,1,10
Otu000147,23,0,94,20,4,494,0,2,36,5,12,16,15,10,1,0,2,37,7,9,3,3,3
Otu000148,0,0,0,0,0,0,0,0,0,0,14,14,22,13,0,0,0,2,324,387,16,1,0
Otu000149,0,4,3,15,0,1,7,0,0,13,0,0,1,78,60,131,426,28,0,1,3,14,1
Otu000150,0,7,10,1,47,0,2,0,0,0,3,35,106,34,2,0,20,41,144,131,168,18,13
Otu000151,0,0,0,0,240,0,0,0,0,0,11,315,5,38,0,0,0,81,39,16,20,0,1
Otu000152,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,1,24,34,0,0,687,15,0
Otu000153,0,1,0,0,0,0,10,1,0,0,0,0,6,70,176,129,175,19,0,0,9,140,39
Otu000154,2,64,372,124,37,127,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000155,0,4,1,1,3,0,4,2,4,66,15,76,48,19,0,0,5,2,6,5,94,0,0
Otu000156,0,7,0,0,1,0,0,0,0,0,102,33,51,61,0,0,0,0,159,305,16,2,18
Otu000157,0,5,0,0,0,0,0,0,0,0,8,32,1,685,0,0,0,0,5,0,1,0,20
Otu000158,0,36,3,15,3,0,15,0,0,0,0,0,0,57,168,158,258,2,3,0,5,26,4
Otu000159,0,0,0,0,0,0,0,0,0,0,495,100,22,125,1,0,0,0,1,7,0,0,0
Otu000160,0,1,0,0,3,0,0,0,0,0,26,145,24,9,0,0,0,1,262,141,106,0,2
Otu000161,0,1,12,686,0,0,7,0,2,0,0,0,0,5,12,2,4,0,0,1,0,4,0
Otu000162,0,0,0,0,0,1,0,0,0,0,5,49,0,10,0,0,0,0,211,21,434,0,0
Otu000163,1,27,233,8,0,2,43,1,2,0,24,53,0,140,20,11,85,2,3,56,16,4,0
Otu000164,0,3,0,0,3,1,4,0,0,0,0,2,29,166,67,83,222,4,6,1,30,97,8
Otu000165,0,0,0,0,1,0,0,0,0,0,20,258,7,39,0,0,0,0,308,79,3,0,1
Otu000166,0,0,0,0,0,1,1,0,0,0,0,4,236,1,0,1,0,5,10,0,93,8,347
Otu000167,6,676,0,0,0,0,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000168,2,6,16,32,2,3,77,58,240,268,0,0,0,0,0,0,0,0,0,0,0,0,0
