,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00192,0,0,0,0,0,0,0,0,0,0,0,0,0,38,235,0,0,0,0,0,0,0
Otu00193,0,0,0,0,0,0,0,0,0,0,0,0,0,217,54,1,1,0,0,0,0,0
Otu00194,12,0,0,12,6,8,0,0,0,5,21,33,85,0,0,1,2,18,28,1,0,0
Otu00195,5,7,16,69,86,11,3,9,9,0,0,0,48,0,0,0,0,0,0,0,0,0
Otu00197,37,12,10,39,10,51,12,20,19,0,0,1,34,0,0,0,0,0,1,0,0,0
Otu00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
Otu00199,0,1,0,1,0,0,0,0,0,0,0,0,0,52,189,21,0,0,0,0,0,0
Otu00200,0,0,0,31,0,0,0,0,0,0,0,0,2,132,0,89,0,0,0,0,0,0
Otu00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0
Otu00202,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,134,0,0,0,0,32,80
Otu00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,132
Otu00204,0,0,0,0,0,0,0,0,0,0,0,0,0,22,158,46,0,0,0,0,15,0
Otu00205,23,19,26,72,0,7,7,23,25,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Otu00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Otu00208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
Otu00209,4,8,6,60,2,3,47,28,46,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,59
Otu00212,69,3,1,7,5,76,19,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0
